Questions for passage,answers
What was the drain of wealth theory,"Impression in India, according to them, was the result of a steady drain of Indian wealth into Britain-a result of British colonial policy. This drain occurred through the interest that India paid for peregrine debts of the East India Company, military expenditure, ensured returns on peregrine investment in railways and other infrastructure, importing all stationery from England, ‘home charges’ paid for the Secretary of State in Britain and salaries, pensions and training costs of military and civilian staff employed by the British state to rule India. Even if this drain was a minuscule fraction of the value of India’s total exported, if invested within the country it could have engendered a surplus to build a capitalist economy. "
what were the states granted to the East India Company in 1765 after the Diwani of Bengal,Bihar and Orissa
Why did Cornwallis prescribe Sempiternal settlement in 1793 with the zamindars ,"The erstwhile arrangement was that the zamindar was given a right to amass revenue on an ad interim or periodic substructure.Since they had no perpetual right over the land; they would amass as much as they could. This entailed oppression and coercion upon the cultivators who naturally became nonchalant to cultivation and as a result, the output was diminutive. Cornwallis emanated from the landed aristocracy and so he could well diagnose the malady."
What was the Sempiternal settlement ,The zamindars were required to pay eighty-nine percent of the revenue and retain eleven percent of the revenue.
what were the advantages of the Sempiternal settlement ,"Since the zamindars were entrusted with the amassment of revenue, the officers of the company were now received of the encumbrance of revenue settlement and they could be engaged in the more paramount administrative and judicial functions of the company. It ameliorated the status of the zamindars that relished a secure position in the sense that they could not be deprived of their position so long as they paid revenue to the company. As a result, they could give more interest and attention to their land, since they got the position of the owner of the land. "
Did Bengal gain material prosperity out of the sempiternal settlement ,Yes
what were the disadvantages of the Sempiternal settlement ,"The earnest imperfection with the sempiternal settlement was that it did not yield the extra revenue from the land, though the value of the land had increased or more areas were brought under cultivation. Thus the system remained static from its inception in 1793 to the day of its abolition in 1954. The zamindars did not take as much interest in the land as they were expected to do so. So the province of Bengal as a whole suffered for the negligence of the zamindars that did not live in the land but the town and lived in luxury and debauchery. The perpetual settlement was propitious for the zamindars and the company but not for the peasants. The zamindars grew in potency, position, and wealth at the cost of the cultivators and to a more preponderant extent of the state. A solemn imperfection of the perpetual settlement was confining industries in the hands of the affluent and the trade in the hands of the lower castes in the Hindu society."
Where was the sempiternal zamindari settlement later elongated to ,"Orissa, the Northern Districts of Madras, and the District of Varanasi"
What was the interim zamindari settlement,"In components of Central India and Awadh, the British introduced an interim zamindari settlement under which the zamindars were made owners of land but the revenue they had to pay was revised periodically."
What was the Subsidiary Coalition.,a. The company lent its army in lieu of the Cash b. Company kept the armies near the border of the Protectorate and accumulated mazuma. c. Company kept the army inside the border for aegis and amassed mazuma. d. Company kept its army inside the border of army and got some territories.
Who was the prime victim,Shah Alam II
What is the commercial impact of first world war in India,The First World War engendered far-reaching vicissitudes in the world’s economy and circumstances coerced Britain to transmute her industrial and commercial policies in India.
What caused de-industrialization In India,Experiencing Industrialization
Who auctioned the right to accumulate revenue to the highest bidders,Warren Hastings
What had done directly or indirectly through inter-me diaries,Zamindars and Revenue farmers
What disclosed that the people of Bengal were not gratified with their Rulers,The battle of Plassey 
How british ensure the political result of the battle proved to be very farsighted,"By Mir Jafar, their favourite, the nawab of Bengal."
Who vanquished Peshwa Baji Rao in a battle near Poona,Jaswant Rao.
Who accepted the subsidiary coalition imposed by Lord Wellesley,Baji rao.
When Calcutta was captures by British,"January 2,1757."
